period,return,ending_equity
2021-01,0.09508063320000004,5475403.166
2021-02,-0.0387051125871376,5263477.07
2021-03,-0.012655971920098152,5196862.652
2021-04,0.03915422123416934,5400341.762
2021-05,0.010078205120826134,5454767.5139999995
2021-06,0.009102508928669373,5504419.584
2021-07,0.011363953464198717,5566971.552
2021-08,0.04151715880728091,5798096.393999999
2021-09,-0.003562811756868456,5777438.868
2021-10,0.013844122253376279,5857422.437999999
2021-11,0.020727973316784665,5978834.933999999
2021-12,-0.00045014489105466016,5976143.592
2022-01,0.024035547973158433,6119783.478
2022-02,-0.01856030469187786,6006198.432
2022-03,0.018691020996224106,6118460.413000001
2022-04,0.03773785338373803,6349357.975
2022-05,0.01682693611238717,6456198.216
2022-06,-0.01522322684523969,6357914.046
2022-07,0.021084536693970923,6491967.718
2022-08,0.0008610098267280986,6497557.366
2022-09,0.06076656915198053,6892391.635
2022-10,-0.06267343382033452,6460421.784
2022-11,0.09502548386552845,7074326.49
2022-12,-0.015240850016239427,6966507.741
2023-01,0.017921824196821978,7091360.268000001
2023-02,-0.025230070711166896,6912444.747000001
2023-03,-0.013459800606779537,6819404.619000001
2023-04,-0.018806132084124072,6691157.995000001
2023-05,0.008478852844663542,6747891.339000001
2023-06,0.03129760296811446,6959084.163000001
2023-07,-0.003856552295012139,6932246.091
2023-08,-0.03724387573822496,6674062.379000001
2023-09,-0.01372898795317068,6582434.257
2023-10,0.0040547321793023006,6609124.265000001
2023-11,0.003836498450222381,6634480.16
2023-12,-0.0057892014255417346,6596071.818
