period,return,ending_equity
2021-01,0.024371421599999943,5121857.108
2021-02,-0.019259111669852502,5023214.69
2021-03,-0.026951039195977633,4887833.834
2021-04,0.0,4887833.834
2021-05,0.04586217895557043,5112000.544
2021-06,0.0,5112000.544
2021-07,0.0068763216469640565,5147152.304
2021-08,-0.00613909014805003,5115553.472
2021-09,-0.02155912563589768,5005266.612
2021-10,-0.0024375254997904827,4993066.147
2021-11,-0.005542527213789783,4965391.942
2021-12,-0.018951274360448078,4871291.437
2022-01,0.020484275328320978,4971076.312
2022-02,-0.010733457233637389,4917719.477
2022-03,0.0161194686624051,4996990.502
2022-04,0.033768187058283106,5165729.812
2022-05,0.01322479039482527,5234045.506
2022-06,0.009648885922391548,5284548.214
2022-07,-0.020139957038908363,5178117.64
2022-08,0.0031515575996068357,5194436.776
2022-09,0.04497390806244361,5428050.898
2022-10,-0.05307558650677935,5139953.913
2022-11,0.0,5139953.913
2022-12,0.006789554262682351,5174851.909
2023-01,-0.010656845252728586,5119704.313
2023-02,-0.006774902197364541,5085018.817
2023-03,-0.006585148493069792,5051533.213
2023-04,0.0004598108934574796,5053855.963
2023-05,0.0,5053855.963
2023-06,-0.004491805893598322,5031155.023
2023-07,0.0011526836230424387,5036954.353
2023-08,-0.02415091213354903,4915307.311
2023-09,-0.010359246488220175,4864388.431
2023-10,-0.006587102871102979,4832346.204
2023-11,-0.00973582976340892,4785299.3040000005
2023-12,0.0,4785299.3040000005
