entry_time,exit_time,side,contracts,entry,exit,net_ntd,fees_ntd,slippage_ntd,reason,gap_observations,entry_nav
2023-12-29T15:00:00.000000000,2023-12-30T01:00:00.000000000,1,1,17874.0,17793.0,-4135.6669999999995,85.667,300.0,signal_exit,12,5000000.0
2024-01-03T10:45:00.000000000,2024-01-06T01:00:00.000000000,-1,1,17545.0,17573.0,-1485.118,85.11800000000001,300.0,signal_exit,0,4995864.333
2024-01-09T15:00:00.000000000,2024-01-11T12:45:00.000000000,-1,1,17541.0,17590.0,-2535.1310000000003,85.131,300.0,signal_exit,0,4994379.215
2024-01-11T23:00:00.000000000,2024-01-12T11:45:00.000000000,-1,1,17501.0,17547.0,-2385.048,85.048,300.0,signal_exit,0,4991844.084
2024-01-12T15:00:00.000000000,2024-01-15T10:45:00.000000000,-1,1,17484.0,17599.0,-5835.083,85.083,300.0,signal_exit,0,4989459.035999999
2024-01-16T10:45:00.000000000,2024-01-16T13:35:00.000000000,-1,1,17387.0,17350.0,1765.263,84.737,300.0,roll_blackout,0,4983623.953
2024-01-18T08:45:00.000000000,2024-01-18T19:00:00.000000000,-1,1,17237.0,17409.0,-8684.645999999999,84.646,300.0,signal_exit,0,4985389.216
2024-01-19T12:45:00.000000000,2024-01-30T17:00:00.000000000,1,1,17674.0,18044.0,18414.282,85.718,300.0,signal_exit,0,4976704.57
2024-02-02T03:00:00.000000000,2024-02-20T13:35:00.000000000,1,1,18034.0,18744.0,35413.221999999994,86.77799999999999,300.0,roll_blackout,0,4995118.852
2024-02-22T10:45:00.000000000,2024-02-27T11:45:00.000000000,1,1,18799.0,18830.0,1462.371,87.62899999999999,300.0,signal_exit,0,5030532.074
2024-02-29T15:00:00.000000000,2024-03-11T11:45:00.000000000,1,1,18964.0,19737.0,38561.299,88.701,300.0,signal_exit,0,5031994.445
2024-03-12T10:45:00.000000000,2024-03-14T23:00:00.000000000,1,1,19850.0,19875.0,1160.275,89.725,300.0,signal_exit,0,5070555.744
2024-03-18T19:00:00.000000000,2024-03-19T13:35:00.000000000,1,1,19938.0,19862.0,-3889.8,89.8,300.0,roll_blackout,0,5071716.019
2024-03-21T10:45:00.000000000,2024-03-26T12:45:00.000000000,1,1,20182.0,20185.0,59.63299999999998,90.367,300.0,signal_exit,0,5067826.2190000005
2024-03-27T12:45:00.000000000,2024-03-28T00:00:00.000000000,1,1,20276.0,20197.0,-4040.473,90.473,300.0,signal_exit,0,5067885.852000001
2024-03-28T08:45:00.000000000,2024-03-28T12:45:00.000000000,1,1,20241.0,20210.0,-1640.4509999999998,90.451,300.0,signal_exit,0,5063845.379000001
2024-03-29T00:00:00.000000000,2024-04-03T10:45:00.000000000,1,1,20243.0,20356.0,5559.401,90.599,300.0,signal_exit,0,5062204.928
2024-04-03T12:45:00.000000000,2024-04-03T16:00:00.000000000,1,1,20382.0,20355.0,-1440.737,90.737,300.0,signal_exit,0,5067764.329
2024-04-04T00:00:00.000000000,2024-04-11T18:00:00.000000000,1,1,20463.0,20697.0,11608.84,91.16,300.0,signal_exit,0,5066323.592
2024-04-12T08:45:00.000000000,2024-04-12T16:00:00.000000000,1,1,20748.0,20744.0,-291.492,91.492,300.0,signal_exit,0,5077932.432
2024-04-16T10:45:00.000000000,2024-04-16T13:35:00.000000000,-1,1,19950.0,19931.0,860.119,89.881,300.0,roll_blackout,0,5077640.94
