entry_time,exit_time,side,contracts,entry,exit,net_ntd,fees_ntd,slippage_ntd,reason,gap_observations,raw_entry,raw_exit,mfe_points,mae_points,holding_calendar_days,holding_observation_minutes,mfe_mae_exit_bar_included
2017-07-03T17:00:00.000000000,2017-07-04T12:45:00.000000000,1,9,10298.0,10237.0,-28084.815,634.815,900.0,signal_exit,67,10297.0,10238.0,22.0,65.0,0.8229166666666666,852,False
2017-07-07T08:45:00.000000000,2017-07-11T10:45:00.000000000,-1,9,10224.0,10333.0,-49685.013000000006,635.0129999999999,900.0,signal_exit,162,10225.0,10332.0,45.0,113.0,4.083333333333333,2154,False
2017-07-12T09:45:00.000000000,2017-07-18T13:35:00.000000000,1,9,10366.0,10462.0,42562.547999999995,637.452,900.0,roll_blackout,366,10365.0,10463.0,115.0,44.0,6.159722222222222,4237,False
2017-07-20T08:45:00.000000000,2017-07-21T10:45:00.000000000,1,9,10412.0,10339.0,-33486.759,636.759,900.0,signal_exit,86,10411.0,10340.0,9.0,87.0,1.0833333333333333,1132,False
2017-07-24T22:00:00.000000000,2017-07-25T10:45:00.000000000,1,9,10365.0,10350.0,-7386.435,636.4350000000001,900.0,signal_exit,56,10364.0,10351.0,23.0,26.0,0.53125,449,False
2017-07-25T12:45:00.000000000,2017-07-26T15:00:00.000000000,1,9,10368.0,10328.0,-18636.264000000003,636.264,900.0,signal_exit,101,10367.0,10329.0,54.0,47.0,1.09375,1066,False
2017-07-27T10:45:00.000000000,2017-07-28T10:45:00.000000000,1,9,10435.0,10353.0,-37537.092,637.0920000000001,900.0,signal_exit,68,10434.0,10354.0,32.0,84.0,1.0,1038,False
2017-08-01T10:45:00.000000000,2017-08-01T16:00:00.000000000,1,9,10411.0,10375.0,-16837.074,637.0740000000001,900.0,signal_exit,1,10410.0,10376.0,14.0,46.0,0.21875,239,False
2017-08-01T18:00:00.000000000,2017-08-03T23:00:00.000000000,1,9,10384.0,10406.0,9262.89,637.11,900.0,signal_exit,191,10383.0,10407.0,88.0,975.0,2.2083333333333335,2317,False
2017-08-04T10:45:00.000000000,2017-08-09T10:45:00.000000000,1,9,10445.0,10465.0,8361.810000000001,638.19,900.0,signal_exit,304,10444.0,10466.0,123.0,11.0,5.0,2965,False
2017-08-10T12:45:00.000000000,2017-08-15T11:45:00.000000000,-1,9,10327.0,10298.0,12414.375,635.625,900.0,signal_exit,115,10328.0,10297.0,105.0,29.0,4.958333333333333,3223,False
2017-08-17T08:45:00.000000000,2017-08-17T10:45:00.000000000,-1,9,10257.0,10320.0,-28985.193,635.193,900.0,signal_exit,0,10258.0,10319.0,13.0,62.0,0.08333333333333333,120,False
2017-08-18T02:00:00.000000000,2017-08-19T01:00:00.000000000,-1,9,10258.0,10273.0,-7384.779,634.779,900.0,signal_exit,18,10259.0,10272.0,59.0,19.0,0.9583333333333334,1060,False
