period,return,ending_equity
2024-01,0.004759146000000047,5023795.73
2024-02,0.02744478526000882,5161672.725
2024-03,0.034965521763102414,5342153.305
2024-04,0.0027463204746049907,5356824.57
2024-05,-0.017151906843199116,5264944.814
2024-06,-0.014110221213042395,5190655.278
2024-07,0.027020054403235072,5330907.066
2024-08,0.032385965439375886,5503553.638
2024-09,0.039401833663022634,5720403.743
2024-10,-0.010445430547296297,5660651.663
2024-11,-0.022349863501926026,5534136.870999999
2024-12,-0.044328336959919,5288817.787
2025-01,0.004168299398437991,5310863.163
2025-02,-0.07831543220651427,4894940.618999999
2025-03,0.061184514238537435,5194435.182999999
2025-04,-0.016458009771646687,5108945.118
2025-05,0.017585313000028746,5198787.516999999
2025-06,0.022448071904916933,5315490.272999999
2025-07,-0.010778971093415746,5258194.756999999
2025-08,-0.010068406829077725,5205253.113
2025-09,0.036962075776775016,5397650.073
2025-10,0.020274050470110883,5507082.302999999
2025-11,0.004426734095969609,5531460.692
2025-12,0.010811883755496021,5591266.202
2026-01,0.07152531923036487,5991183.301999999
2026-02,-0.0118513865159654,5920179.472999999
2026-03,-0.03076786790514241,5738028.1729999995
2026-04,0.01295477117902255,5812363.015
2026-05,0.06032390046787217,6162987.423
2026-06,-0.02954541288214474,5980899.415
2026-07,-0.005266655700813305,5949400.077
2026-08,0.013234553565223406,6028137.731000001
2026-09,-0.002185463668530896,6014963.455
