period,return,ending_equity
2017-07,0.0,5000000.0
2017-08,0.0,5000000.0
2017-09,-0.00879350940000001,4956032.453
2017-10,-0.00451346136493902,4933663.592
2017-11,0.006502102423849188,4965742.778
2017-12,-0.004761926273097017,4942096.277
2018-01,0.0,4942096.277
2018-02,0.014257353975057008,5012557.493
2018-03,-0.01027327488451013,4961062.112
2018-04,0.025047466488966386,5085324.149
2018-05,-0.002957528283218269,5070284.159
2018-06,0.00533745883886283,5097346.592
2018-07,-0.011072563142671243,5040905.9
2018-08,-0.005292204125453059,5014228.397
2018-09,-0.0049744866059399095,4989285.185
2018-10,0.0815475756373305,5396149.296
2018-11,-0.006540370931946149,5360856.478
2018-12,-0.00545411672929319,5331617.741
2019-01,0.0038807138855603274,5352308.223999999
2019-02,0.0,5352308.223999999
2019-03,0.0,5352308.223999999
2019-04,0.0,5352308.223999999
2019-05,0.006993510170463679,5389739.646
2019-06,0.0,5389739.646
2019-07,0.0,5389739.646
2019-08,-0.01611038115068164,5302908.886
2019-09,0.0,5302908.886
2019-10,0.0,5302908.886
2019-11,0.0,5302908.886
2019-12,-0.005979145725793722,5271202.021
2020-01,0.00471833253609244,5296073.305
2020-02,0.000940998493222267,5301056.902
2020-03,0.10478588954410739,5856532.864999999
2020-04,0.0,5856532.864999999
2020-05,-0.022271043808101187,5726101.765
2020-06,0.0,5726101.765
2020-07,0.0,5726101.765
2020-08,-0.021144468430522312,5605026.386999999
2020-09,-0.014577270178335655,5523320.403
2020-10,0.017615986200465894,5620619.1389999995
2020-11,-0.011867133913625483,5553918.499
2020-12,0.0,5553918.499
