period,return,ending_equity
2021-01,0.0,5000000.0
2021-02,0.0,5000000.0
2021-03,0.0,5000000.0
2021-04,0.0,5000000.0
2021-05,0.0,5000000.0
2021-06,-0.014384207999999954,4928078.96
2021-07,0.005611032255051329,4955730.57
2021-08,0.02433170817032515,5076311.96
2021-09,-0.020608153286150732,4971698.545
2021-10,0.011322397062189626,5027990.09
2021-11,-0.015696765225724607,4949066.91
2021-12,0.0,4949066.91
2022-01,0.015464599972442095,5025602.25
2022-02,-0.004867796690436577,5001138.64
2022-03,-0.0020519787069929185,4990876.41
2022-04,0.02387610115154093,5110039.08
2022-05,0.026967817631641244,5247845.682
2022-06,0.018898444049178398,5347021.8
2022-07,-0.0029239048548483915,5331387.617
2022-08,0.0,5331387.617
2022-09,0.04776850142877187,5586060.014
2022-10,0.02236250786545879,5710978.325
2022-11,0.0,5710978.325
2022-12,0.00521740624886724,5740774.819
2023-01,-0.010978626751114828,5677748.995
2023-02,-0.012983531160838058,5604031.764
2023-03,0.0,5604031.764
2023-04,0.009766541002068196,5658763.77
2023-05,0.0,5658763.77
2023-06,0.0,5658763.77
2023-07,-0.003958679830170619,5636362.536
2023-08,0.0027497276658499104,5651860.998
2023-09,-0.01615300553787602,5560566.456
2023-10,0.00010132708680998803,5561129.892
2023-11,-0.008459953447172652,5514082.992
2023-12,0.0,5514082.992
