period,return,ending_equity
2024-01,-0.0032811480000000115,4983594.26
2024-02,0.03739830236500841,5169972.225
2024-03,0.032219942922420586,5336548.435
2024-04,-0.003386097815862743,5318478.36
2024-05,-0.0030330536119733686,5302347.13
2024-06,-0.027126770178096615,5158511.578
2024-07,0.022509440222099775,5274626.786
2024-08,0.0026825253376323577,5288776.106
2024-09,0.051928036750966244,5563411.866
2024-10,-0.0011365622665192587,5557088.702
2024-11,-0.01725422233506757,5461205.458
2024-12,-0.02715570127154887,5312902.594
2025-01,0.02546021230518347,5448170.222
2025-02,-0.10015086125552419,4902531.282
2025-03,0.0657069145448852,5224661.486
2025-04,-0.011960507904186013,5162171.881
2025-05,0.015511426943127793,5242244.533
2025-06,0.021319356488706642,5354005.813
2025-07,0.02012214027456083,5461739.869
2025-08,0.005689351149140043,5492813.624999999
2025-09,0.051521450265846314,5775811.348999999
2025-10,0.022663286608670674,5906710.216999999
2025-11,0.010744397078655599,5970174.256999999
2025-12,-0.006532049873464785,5931176.7809999995
2026-01,0.08238897609078011,6419840.362999999
2026-02,-0.002415713339132486,6404331.868999999
2026-03,-0.06496511400571214,5988273.718999999
2026-04,0.03237675999760037,6182154.619999999
2026-05,0.05726871014429591,6536198.640999999
2026-06,-0.059956128251947294,6144313.476999999
2026-07,-0.04546045689979683,5864990.179
2026-08,0.017011560966843975,5964762.816999999
2026-09,-0.012998278117451578,5887231.170999999
