entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,raw_entry,raw_exit,mfe_points,mae_points,holding_calendar_days,holding_observation_minutes,mfe_mae_exit_bar_included
2017-07-03T16:00:00.000000000,10297.0,1,9,5000000.0,1.0,2017-07-04T10:45:00.000000000,10273.0,signal_exit,-11435.130000000001,635.1300000000001,900.0,73,10296.0,10274.0,23.0,43.0,0.78125,784,False
2017-07-11T10:45:00.000000000,10333.0,1,9,4988564.869999999,1.0,2017-07-18T13:35:00.000000000,10462.0,roll_blackout,57412.844999999994,637.155,900.0,460,10332.0,10463.0,148.0,17.0,7.118055555555555,5190,False
2017-07-26T09:45:00.000000000,10412.0,1,9,5045977.714999999,1.0,2017-07-28T11:45:00.000000000,10344.0,signal_exit,-31236.804,636.804,900.0,172,10411.0,10345.0,55.0,91.0,2.0833333333333335,2148,False
2017-08-02T09:45:00.000000000,10447.0,1,9,5014740.910999999,1.0,2017-08-10T10:45:00.000000000,10345.0,signal_exit,-46537.128000000004,637.128,900.0,510,10446.0,10346.0,121.0,1038.0,8.041666666666666,6176,False
2017-08-22T22:00:00.000000000,10386.0,1,9,4968203.782999999,1.0,2017-09-07T12:45:00.000000000,10500.0,signal_exit,50662.026,637.974,900.0,844,10385.0,10501.0,213.0,45.0,15.614583333333334,12023,False
2017-09-11T09:45:00.000000000,10583.0,1,9,5018865.8089999985,1.0,2017-09-13T11:45:00.000000000,10538.0,signal_exit,-20890.089,640.0889999999999,900.0,150,10582.0,10539.0,32.0,72.0,2.0833333333333335,2181,False
2017-09-18T10:45:00.000000000,10629.0,1,9,4997975.719999998,1.0,2017-09-19T13:35:00.000000000,10577.0,roll_blackout,-24040.854,640.854,900.0,119,10628.0,10578.0,30.0,60.0,1.1180555555555556,1122,False
2017-10-12T09:45:00.000000000,10673.0,1,9,4973934.865999998,1.0,2017-10-17T13:35:00.000000000,10721.0,roll_blackout,20957.453999999998,642.546,900.0,369,10672.0,10722.0,109.0,17.0,5.159722222222222,3033,False
2017-10-19T10:45:00.000000000,10788.0,1,9,4994892.3199999975,1.0,2017-10-26T00:00:00.000000000,10703.0,signal_exit,-38893.418999999994,643.419,900.0,356,10787.0,10704.0,10.0,103.0,6.552083333333333,4789,False
2017-11-21T11:45:00.000000000,10758.0,1,9,4955998.900999998,1.0,2017-11-28T10:45:00.000000000,10725.0,signal_exit,-15493.347,643.347,900.0,356,10757.0,10726.0,120.0,54.0,6.958333333333333,5075,False
2018-01-04T15:00:00.000000000,10831.0,1,9,4940505.553999998,1.0,2018-01-16T13:35:00.000000000,10982.0,roll_blackout,67303.68299999999,646.317,900.0,720,10830.0,10983.0,155.0,65.0,11.940972222222221,8046,False
2018-01-18T08:45:00.000000000,11064.0,1,9,5007809.236999997,1.0,2018-01-25T03:00:00.000000000,11119.0,signal_exit,24100.353,649.647,900.0,181,11063.0,11120.0,190.0,27.0,6.760416666666667,5368,False
2018-03-06T15:00:00.000000000,10794.0,1,9,5031909.589999996,1.0,2018-03-16T10:45:00.000000000,10941.0,signal_exit,65504.38500000001,645.615,900.0,90,10793.0,10942.0,328.0,93.0,9.822916666666666,8841,False
2018-03-22T09:45:00.000000000,11116.0,1,9,5097413.974999997,1.0,2018-03-22T17:00:00.000000000,10956.0,signal_exit,-72648.648,648.648,900.0,0,11115.0,10957.0,2.0,178.0,0.3020833333333333,360,False
2018-04-19T10:45:00.000000000,10958.0,1,9,5024765.326999997,1.0,2018-04-20T00:00:00.000000000,10868.0,signal_exit,-41146.434,646.434,900.0,0,10957.0,10869.0,18.0,89.0,0.5520833333333334,720,False
2018-05-10T23:00:00.000000000,10798.0,1,9,4983618.892999996,1.0,2018-05-15T13:35:00.000000000,10864.0,roll_blackout,29055.041999999998,644.9580000000001,900.0,53,10797.0,10865.0,178.0,1.0,4.607638888888889,2868,False
2018-05-21T10:45:00.000000000,10942.0,1,9,5012673.934999997,1.0,2018-05-23T16:00:00.000000000,10821.0,signal_exit,-55095.867000000006,645.867,900.0,87,10941.0,10822.0,58.0,126.0,2.21875,2421,False
2018-05-24T16:00:00.000000000,10942.0,1,9,4957578.067999996,1.0,2018-05-29T17:00:00.000000000,10892.0,signal_exit,-23146.505999999998,646.5060000000001,900.0,143,10941.0,10893.0,48.0,80.0,5.041666666666667,3259,False
2018-06-01T10:45:00.000000000,10920.0,1,9,4934431.561999996,1.0,2018-06-08T16:00:00.000000000,11090.0,signal_exit,75851.91,648.0900000000001,900.0,110,10919.0,11091.0,334.0,20.0,7.21875,5820,False
2018-07-12T20:00:00.000000000,10766.0,1,9,5010283.471999996,1.0,2018-07-17T13:35:00.000000000,10773.0,roll_blackout,2506.149,643.8510000000001,900.0,143,10765.0,10774.0,109.0,15.0,4.732638888888889,2919,False
2018-07-19T09:45:00.000000000,10782.0,1,9,5012789.620999996,1.0,2018-08-02T11:45:00.000000000,10903.0,signal_exit,53804.835,645.165,900.0,289,10781.0,10904.0,278.0,88.0,14.083333333333334,11198,False
2018-08-03T20:00:00.000000000,11020.0,1,9,5066594.455999996,1.0,2018-08-10T16:00:00.000000000,10963.0,signal_exit,-26297.847,647.847,900.0,295,11019.0,10964.0,51.0,70.0,6.833333333333333,5090,False
2018-08-29T09:45:00.000000000,11007.0,1,9,5040296.6089999955,1.0,2018-09-03T11:45:00.000000000,10934.0,signal_exit,-33497.469000000005,647.469,900.0,36,11006.0,10935.0,129.0,73.0,5.083333333333333,3501,False
