period,return,ending_equity
2021-01,0.011111686800000076,5055558.434
2021-02,-0.019511675967703868,4956916.016
2021-03,-0.013958077517688627,4887726.998
2021-04,0.0,4887726.998
2021-05,0.06052620064931058,5183562.543
2021-06,-0.011672621579864595,5123056.779
2021-07,0.005397482634459161,5150708.389
2021-08,-0.0019413376267534144,5140709.125
2021-09,-0.02034999694716244,5036095.71
2021-10,0.011177616201420326,5092387.255
2021-11,-0.015498267521290354,5013464.075
2021-12,0.0,5013464.075
2022-01,0.01526595959501309,5089999.415
2022-02,0.0015859933060522469,5098072.12
2022-03,0.02060642798438872,5203125.176
2022-04,0.029691411752420294,5357613.308
2022-05,0.011015341460324679,5416629.248
2022-06,0.009554392340791917,5468381.849
2022-07,0.00023343907489437044,5469658.383
2022-08,-0.01584356607523074,5382999.489
2022-09,0.06495754842900014,5732665.939
2022-10,-0.026811574865081345,5578964.137
2022-11,0.0,5578964.137
2022-12,0.010798758249841667,5639210.022
2023-01,-0.011176356928385367,5576184.198
2023-02,-0.013220013611896064,5502466.967
2023-03,0.002759604208633526,5517651.598
2023-04,0.009919438556040605,5572383.604
2023-05,-0.013393766349183989,5497748.4
2023-06,0.0,5497748.4
2023-07,-0.004074619711589622,5475347.166
2023-08,-0.011980886327601303,5409747.654
2023-09,-0.020692710484791155,5297805.312
2023-10,0.002494455198281287,5311020.45
2023-11,-0.008858354141716873,5263973.55
2023-12,0.0,5263973.55
