period,return,ending_equity
2017-07,-0.012659210999999893,4936703.945
2017-08,-0.004318855300527891,4915383.035
2017-09,-0.005688415490899823,4887422.294
2017-10,-0.00017137561471380902,4886584.709
2017-11,-0.00815699151323157,4846724.879
2017-12,-0.0027048902768966876,4833615.02
2018-01,0.0334596322484948,4995346.001
2018-02,0.0,4995346.001
2018-03,0.015595485474760862,5073250.847
2018-04,-0.013166334765311039,5006454.728
2018-05,-0.0016845171799583225,4998021.269
2018-06,0.01814745038452914,5088722.612
2018-07,0.019643716630235675,5188684.0370000005
2018-08,-0.010993231924174007,5131643.63
2018-09,-0.005990771810473583,5100901.124
2018-10,-0.010977917359842548,5044903.853
2018-11,-0.030235236873601523,4892369.99
2018-12,-0.015921447919763687,4814476.376
2019-01,-0.00996080845656655,4766520.299
2019-02,-0.0004929577244207062,4764170.606
2019-03,0.0011913975105870556,4769846.627
2019-04,0.021704590125388057,4873374.193
2019-05,-0.017929141604907772,4785998.777
2019-06,-0.007667742661439436,4749300.97
2019-07,0.00031228511508718526,4750784.106
2019-08,0.00044528228452400676,4752899.546
2019-09,0.009714351324521031,4799070.882
2019-10,-0.004162449042985461,4779094.994
2019-11,0.005810171179870149,4806862.354
2019-12,0.03129346607456429,4957285.738
2020-01,-0.054420315926521634,4687508.682
2020-02,0.0,4687508.682
2020-03,-0.044839683349732096,4477322.277
2020-04,0.0403261978543521,4657875.661
2020-05,-0.038855137657570094,4476893.261
2020-06,0.029313883612826386,4608128.389
2020-07,0.031905899443028574,4755154.87
2020-08,-0.02123926764976225,4654158.863
2020-09,0.005150389298174796,4678129.593
2020-10,-0.0008614011048411196,4674099.847
2020-11,0.035803627110664094,4841449.575
2020-12,0.03663501235577771,5018816.14
