period,return,ending_equity
2024-01,-0.0034559859999999665,4982720.07
2024-02,0.008341504121462728,5024283.45
2024-03,0.00016298841579076573,5025102.35
2024-04,0.004123132536793195,5045821.513
2024-05,-0.006237003809769992,5014350.705
2024-06,-0.0037026010130257747,4995784.565
2024-07,0.025788702119503792,5124619.365
2024-08,0.03825190556372182,5320645.821
2024-09,0.026922727206276642,5463892.117
2024-10,-0.010278663413807565,5407730.609
2024-11,-0.03323149487160415,5228023.637
2024-12,-0.04451634042985109,4995291.157
2025-01,-0.014366498717383935,4923526.313
2025-02,-0.0661111573915133,4598026.29
2025-03,0.044471063691982504,4802505.41
2025-04,-0.02588575199543597,4678188.946
2025-05,0.00908175716936932,4720675.122
2025-06,0.019541393893023784,4812923.694
2025-07,-0.019765404574893175,4717794.3100000005
2025-08,0.024049952487224857,4831257.039
2025-09,0.029990324015132686,4976148.0030000005
2025-10,0.0029774602747079104,4990964.286
2025-11,0.014598349702556801,5063824.1280000005
2025-12,0.0030717150925507752,5079378.7530000005
2026-01,0.05266376736367784,5346877.974
2026-02,0.04630198504694727,5594449.038
2026-03,-0.020699654463453454,5478645.876
2026-04,0.018674891810072536,5580958.995
2026-05,0.00327147933112526,5599216.987
2026-06,-0.027463380747169364,5445443.559
2026-07,0.027521992722209232,5595313.017
2026-08,-0.0017444714836049036,5585552.153
2026-09,0.0,5585552.153
