period,return,ending_equity
2024-01,0.00830907500000011,5041545.375
2024-02,0.0273481610784867,5179422.37
2024-03,0.034845696509589796,5359902.95
2024-04,0.002737225867121218,5374574.215
2024-05,-0.017095262308141734,5282694.459
2024-06,-0.01406281142636101,5208404.923
2024-07,0.026927973165192354,5348656.711
2024-08,0.03227849183981779,5521303.283
2024-09,0.04348621289094301,5761403.853
2024-10,-0.011585691040429946,5694654.007999999
2024-11,-0.021504877702483882,5572191.17
2024-12,-0.04355899225187576,5329472.137999999
2025-01,0.004136502720937907,5351517.5139999995
2025-02,-0.07772048636894358,4935594.97
2025-03,0.060680539189381655,5235089.534
2025-04,-0.011936683144414872,5172599.929
2025-05,0.01736890543115499,5262442.328
2025-06,0.022176538710753535,5379145.084
2025-07,-0.010651416741002673,5321849.568
2025-08,-0.009947978296556026,5268907.924
2025-09,0.036515528981561296,5461304.884
2025-10,0.010689203814829629,5519681.885
2025-11,0.004416629347109513,5544060.273999999
2025-12,0.010706142802660246,5603415.774999999
2026-01,0.07137023488141936,6003332.875
2026-02,-0.011827401624801559,5932329.046
2026-03,-0.028479803242525747,5763377.482
2026-04,0.01189145743343123,5831912.4399999995
2026-05,0.05409240437773111,6147374.606
2026-06,-0.02465888736502997,5995787.188
2026-07,-0.024684378440951504,5847784.908
2026-08,0.010306949545552557,5908057.732
2026-09,-0.015700363504843273,5815299.078
