variant,period,direction,slippage_per_side,sizing,trades,net_ntd,gross_winning_ntd,gross_losing_ntd,win_rate,average_ntd,costs_ntd,largest_five_wins_ntd,ending,cagr,mdd,mdd_ntd,envelope_mdd,sharpe,sides,initial,exit_reasons,zero_contract_signal_skips,contracts_range,profit_factor
baseline,early,short_only,3,notional_one,5,-1037541.382,67104.53,1104645.912,0.4,-207508.2764,18841.382,67104.53,3962458.618,-0.06421344430905507,-0.24871183233287097,1309704.551,-0.25006002538604866,-0.8417917662855003,"{'long': {'trades': 0, 'net_ntd': 0.0, 'gross_winning_ntd': 0.0, 'gross_losing_ntd': 0.0, 'pf': None, 'win_rate': 0.0, 'average_ntd': 0.0, 'costs_ntd': 0, 'largest_five_wins_ntd': 0.0}, 'short': {'trades': 5, 'net_ntd': -1037541.382, 'gross_winning_ntd': 67104.53, 'gross_losing_ntd': 1104645.912, 'pf': 0.060747547491037106, 'win_rate': 0.4, 'average_ntd': -207508.2764, 'costs_ntd': np.float64(18841.382), 'largest_five_wins_ntd': 67104.53}}",5000000.0,{'roll_blackout': 5},0,"[10, 11]",0.060747547491037106
baseline,early,short_only,3,fixed_one,5,-94447.256,6710.453,101157.709,0.4,-18889.4512,1847.256,6710.453,4905552.744,-0.005427137039306751,-0.02419273929071153,121607.10699999984,-0.024367908692545792,-0.7912406823100661,"{'long': {'trades': 0, 'net_ntd': 0.0, 'gross_winning_ntd': 0.0, 'gross_losing_ntd': 0.0, 'pf': None, 'win_rate': 0.0, 'average_ntd': 0.0, 'costs_ntd': 0, 'largest_five_wins_ntd': 0.0}, 'short': {'trades': 5, 'net_ntd': -94447.256, 'gross_winning_ntd': 6710.453, 'gross_losing_ntd': 101157.709, 'pf': 0.06633654583853812, 'win_rate': 0.4, 'average_ntd': -18889.4512, 'costs_ntd': 1847.256, 'largest_five_wins_ntd': 6710.453}}",5000000.0,{'roll_blackout': 5},0,"[1, 1]",0.06633654583853812
baseline,middle,joint,1,notional_one,37,489845.20599999983,3039098.101,2549252.8949999996,0.4594594594594595,13239.059621621616,40554.79399999999,1634620.137,5489845.206,0.031726839015024266,-0.14135599367716722,813797.0720000006,-0.14189223154047803,0.3215434245807015,"{'long': {'trades': 29, 'net_ntd': 555912.2189999999, 'gross_winning_ntd': 2279040.658, 'gross_losing_ntd': 1723128.439, 'pf': 1.322617981583902, 'win_rate': 0.4482758620689655, 'average_ntd': 19169.386862068965, 'costs_ntd': np.float64(31037.780999999995), 'largest_five_wins_ntd': 1453125.0719999997}, 'short': {'trades': 8, 'net_ntd': -66067.01300000002, 'gross_winning_ntd': 760057.443, 'gross_losing_ntd': 826124.456, 'pf': 0.9200277724256113, 'win_rate': 0.5, 'average_ntd': -8258.376625000003, 'costs_ntd': np.float64(9517.013), 'largest_five_wins_ntd': 760057.443}}",5000000.0,"{'roll_blackout': 24, 'signal_exit': 12, 'period_end': 1}",0,"[5, 8]",1.1921524564945136
baseline,middle,joint,1,fixed_one,37,91334.47200000004,501839.87899999996,410505.407,0.4594594594594595,2468.499243243244,6765.528,263191.248,5091334.472,0.006067828582350554,-0.02738580704283089,140384.55400000047,-0.027452745166020143,0.30395454777749387,"{'long': {'trades': 29, 'net_ntd': 84122.15700000004, 'gross_winning_ntd': 384409.07999999996, 'gross_losing_ntd': 300286.923, 'pf': 1.2801392620084224, 'win_rate': 0.4482758620689655, 'average_ntd': 2900.76403448276, 'costs_ntd': 5327.843, 'largest_five_wins_ntd': 242187.512}, 'short': {'trades': 8, 'net_ntd': 7212.314999999999, 'gross_winning_ntd': 117430.799, 'gross_losing_ntd': 110218.484, 'pf': 1.0654365287767884, 'win_rate': 0.5, 'average_ntd': 901.5393749999998, 'costs_ntd': 1437.685, 'largest_five_wins_ntd': 117430.799}}",5000000.0,"{'roll_blackout': 24, 'signal_exit': 12, 'period_end': 1}",0,"[1, 1]",1.2224927380798176
baseline,middle,joint,3,notional_one,37,445445.2059999999,3018698.101,2573252.895,0.4594594594594595,12039.059621621618,84954.79400000001,1628420.137,5445445.206,0.028930745869438113,-0.14587003935026877,838997.0720000006,-0.1464056036068232,0.29838190750016524,"{'long': {'trades': 29, 'net_ntd': 522112.2189999999, 'gross_winning_ntd': 2263640.6580000003, 'gross_losing_ntd': 1741528.4390000002, 'pf': 1.29980114439004, 'win_rate': 0.4482758620689655, 'average_ntd': 18003.869620689653, 'costs_ntd': np.float64(64837.781), 'largest_five_wins_ntd': 1447125.0720000002}, 'short': {'trades': 8, 'net_ntd': -76667.01299999999, 'gross_winning_ntd': 755057.443, 'gross_losing_ntd': 831724.456, 'pf': 0.9078216199524617, 'win_rate': 0.5, 'average_ntd': -9583.376624999999, 'costs_ntd': np.float64(20117.013), 'largest_five_wins_ntd': 755057.443}}",5000000.0,"{'roll_blackout': 24, 'signal_exit': 12, 'period_end': 1}",0,"[5, 8]",1.173105879669087
baseline,middle,joint,3,fixed_one,37,83934.47200000004,498439.87899999996,414505.407,0.4594594594594595,2268.499243243244,14165.528,262191.248,5083934.472,0.0055789188931891776,-0.02793692692933969,143184.5499999998,-0.028003849925207547,0.2801781585380785,"{'long': {'trades': 29, 'net_ntd': 78322.15700000004, 'gross_winning_ntd': 381809.07999999996, 'gross_losing_ntd': 303486.923, 'pf': 1.258074239989576, 'win_rate': 0.4482758620689655, 'average_ntd': 2700.76403448276, 'costs_ntd': 11127.843, 'largest_five_wins_ntd': 241187.512}, 'short': {'trades': 8, 'net_ntd': 5612.314999999999, 'gross_winning_ntd': 116630.799, 'gross_losing_ntd': 111018.484, 'pf': 1.0505529781869476, 'win_rate': 0.5, 'average_ntd': 701.5393749999998, 'costs_ntd': 3037.685, 'largest_five_wins_ntd': 116630.799}}",5000000.0,"{'roll_blackout': 24, 'signal_exit': 12, 'period_end': 1}",0,"[1, 1]",1.2024930690469857
baseline,middle,long_only,1,notional_one,29,555912.2189999999,2279040.658,1723128.439,0.4482758620689655,19169.386862068965,31037.780999999995,1453125.0719999997,5555912.219,0.035859678105470305,-0.1376740767980087,792600.0,-0.13935739058826735,0.4296713061929823,"{'long': {'trades': 29, 'net_ntd': 555912.2189999999, 'gross_winning_ntd': 2279040.658, 'gross_losing_ntd': 1723128.439, 'pf': 1.322617981583902, 'win_rate': 0.4482758620689655, 'average_ntd': 19169.386862068965, 'costs_ntd': np.float64(31037.780999999995), 'largest_five_wins_ntd': 1453125.0719999997}, 'short': {'trades': 0, 'net_ntd': 0.0, 'gross_winning_ntd': 0.0, 'gross_losing_ntd': 0.0, 'pf': None, 'win_rate': 0.0, 'average_ntd': 0.0, 'costs_ntd': 0, 'largest_five_wins_ntd': 0.0}}",5000000.0,"{'roll_blackout': 19, 'signal_exit': 9, 'period_end': 1}",0,"[5, 6]",1.322617981583902
baseline,middle,long_only,1,fixed_one,29,84122.15700000004,384409.07999999996,300286.923,0.4482758620689655,2900.76403448276,5327.843,242187.512,5084122.157,0.005591324884631099,-0.02725586230697785,139718.43400000036,-0.02739108041095306,0.3439113404347371,"{'long': {'trades': 29, 'net_ntd': 84122.15700000004, 'gross_winning_ntd': 384409.07999999996, 'gross_losing_ntd': 300286.923, 'pf': 1.2801392620084224, 'win_rate': 0.4482758620689655, 'average_ntd': 2900.76403448276, 'costs_ntd': 5327.843, 'largest_five_wins_ntd': 242187.512}, 'short': {'trades': 0, 'net_ntd': 0.0, 'gross_winning_ntd': 0.0, 'gross_losing_ntd': 0.0, 'pf': None, 'win_rate': 0.0, 'average_ntd': 0.0, 'costs_ntd': 0, 'largest_five_wins_ntd': 0.0}}",5000000.0,"{'roll_blackout': 19, 'signal_exit': 9, 'period_end': 1}",0,"[1, 1]",1.2801392620084224
baseline,middle,long_only,3,notional_one,29,522112.2189999999,2263640.6580000003,1741528.4390000002,0.4482758620689655,18003.869620689653,64837.781,1447125.0720000002,5522112.2190000005,0.0337494231049047,-0.1378033333458677,792600.0,-0.1394881934179103,0.40679026187864586,"{'long': {'trades': 29, 'net_ntd': 522112.2189999999, 'gross_winning_ntd': 2263640.6580000003, 'gross_losing_ntd': 1741528.4390000002, 'pf': 1.29980114439004, 'win_rate': 0.4482758620689655, 'average_ntd': 18003.869620689653, 'costs_ntd': np.float64(64837.781), 'largest_five_wins_ntd': 1447125.0720000002}, 'short': {'trades': 0, 'net_ntd': 0.0, 'gross_winning_ntd': 0.0, 'gross_losing_ntd': 0.0, 'pf': None, 'win_rate': 0.0, 'average_ntd': 0.0, 'costs_ntd': 0, 'largest_five_wins_ntd': 0.0}}",5000000.0,"{'roll_blackout': 19, 'signal_exit': 9, 'period_end': 1}",0,"[5, 6]",1.29980114439004
baseline,middle,long_only,3,fixed_one,29,78322.15700000004,381809.07999999996,303486.923,0.4482758620689655,2700.76403448276,11127.843,241187.512,5078322.157,0.005207803505080655,-0.027728915626512807,142118.43400000036,-0.027864134400318097,0.3207497959770539,"{'long': {'trades': 29, 'net_ntd': 78322.15700000004, 'gross_winning_ntd': 381809.07999999996, 'gross_losing_ntd': 303486.923, 'pf': 1.258074239989576, 'win_rate': 0.4482758620689655, 'average_ntd': 2700.76403448276, 'costs_ntd': 11127.843, 'largest_five_wins_ntd': 241187.512}, 'short': {'trades': 0, 'net_ntd': 0.0, 'gross_winning_ntd': 0.0, 'gross_losing_ntd': 0.0, 'pf': None, 'win_rate': 0.0, 'average_ntd': 0.0, 'costs_ntd': 0, 'largest_five_wins_ntd': 0.0}}",5000000.0,"{'roll_blackout': 19, 'signal_exit': 9, 'period_end': 1}",0,"[1, 1]",1.258074239989576
