entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,sizing_mode
2021-01-04T15:00:00.000000000,14889.0,1,1,5000000.0,1.0,2021-01-19T13:35:00.000000000,15892.0,roll_blackout,50069.219,80.781,100.0,102,fixed_one
2021-01-21T15:00:00.000000000,16106.0,1,1,5050069.219,1.0,2021-02-05T13:35:00.000000000,15807.0,roll_blackout,-15031.913,81.91300000000001,100.0,56,fixed_one
2021-04-06T15:00:00.000000000,16743.0,1,1,5035037.306,1.0,2021-04-20T13:35:00.000000000,17320.0,roll_blackout,28765.937,84.063,100.0,176,fixed_one
2021-04-26T15:00:00.000000000,17529.0,1,1,5063803.243,1.0,2021-05-13T15:00:00.000000000,15587.0,signal_exit,-97183.116,83.116,100.0,81,fixed_one
2022-01-04T15:00:00.000000000,18517.0,1,1,4966620.126999999,1.0,2022-01-18T13:35:00.000000000,18364.0,roll_blackout,-7736.880999999999,86.881,100.0,61,fixed_one
2023-03-06T15:00:00.000000000,15773.0,1,1,4958883.245999999,1.0,2023-03-14T13:35:00.000000000,15359.0,roll_blackout,-20781.132,81.132,100.0,24,fixed_one
2023-05-18T15:00:00.000000000,16068.0,1,1,4938102.113999999,1.0,2023-06-20T13:35:00.000000000,17179.0,roll_blackout,55466.753000000004,83.247,100.0,263,fixed_one
2023-07-14T15:00:00.000000000,17275.0,1,1,4993568.867,1.0,2023-07-18T13:35:00.000000000,17228.0,roll_blackout,-2434.503,84.50300000000001,100.0,11,fixed_one
2023-11-13T15:00:00.000000000,16875.0,1,1,4991134.363999999,1.0,2023-11-14T13:35:00.000000000,16934.0,roll_blackout,2866.191,83.809,100.0,2,fixed_one
2023-12-14T15:00:00.000000000,17671.0,1,1,4994000.554999999,1.0,2023-12-19T13:35:00.000000000,17579.0,roll_blackout,-4685.25,85.25,100.0,7,fixed_one
2023-12-27T15:00:00.000000000,17866.0,1,1,4989315.304999999,1.0,2023-12-29T13:44:00.000000000,17867.0,period_end,-35.733000000000004,85.733,100.0,31,fixed_one
