entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,sizing_mode
2017-11-22T15:00:00.000000000,10835.0,1,1,5000000.0,1.0,2017-12-01T15:00:00.000000000,10608.0,signal_exit,-11421.443,71.44300000000001,300.0,421,fixed_one
2018-01-03T15:00:00.000000000,10795.0,1,1,4988578.557,1.0,2018-01-16T13:35:00.000000000,10980.0,roll_blackout,9178.225,71.775,300.0,828,fixed_one
2018-01-18T15:00:00.000000000,11066.0,1,1,4997756.782,1.0,2018-02-07T15:00:00.000000000,10498.0,signal_exit,-28471.564,71.56400000000001,300.0,438,fixed_one
2019-05-03T15:00:00.000000000,11096.0,1,1,4969285.218,1.0,2019-05-14T13:35:00.000000000,10539.0,roll_blackout,-27921.635000000002,71.635,300.0,39,fixed_one
2019-07-15T15:00:00.000000000,10852.0,1,1,4941363.583000001,1.0,2019-07-16T13:35:00.000000000,10878.0,roll_blackout,1228.27,71.73,300.0,48,fixed_one
2019-10-01T15:00:00.000000000,10960.0,1,1,4942591.853000001,1.0,2019-10-15T13:35:00.000000000,11103.0,roll_blackout,7077.937,72.063,300.0,153,fixed_one
2019-11-04T15:00:00.000000000,11552.0,1,1,4949669.790000001,1.0,2019-11-19T13:35:00.000000000,11644.0,roll_blackout,4526.804,73.196,300.0,300,fixed_one
2019-12-11T15:00:00.000000000,11712.0,1,1,4954196.5940000005,1.0,2019-12-17T13:35:00.000000000,12091.0,roll_blackout,18876.197,73.803,300.0,82,fixed_one
2020-11-09T15:00:00.000000000,13116.0,1,1,4973072.791,1.0,2020-11-17T13:35:00.000000000,13602.0,roll_blackout,24223.282,76.718,300.0,13,fixed_one
2020-11-23T15:00:00.000000000,13877.0,1,1,4997296.073,1.0,2020-12-15T13:35:00.000000000,14057.0,roll_blackout,8922.065999999999,77.934,300.0,173,fixed_one
2020-12-21T15:00:00.000000000,14321.0,1,1,5006218.1389999995,1.0,2020-12-31T13:44:00.000000000,14675.0,period_end,17621.004,78.996,300.0,309,fixed_one
