variant,window,direction,slippage_per_side,sizing,period,return,ending_equity
baseline,early,joint,1,notional_one,2017,0.02250543599999988,5112527.18
baseline,early,joint,1,notional_one,2018,-0.059340510929078216,4809147.205
baseline,early,joint,1,notional_one,2019,0.07427531093841822,5166348.109
baseline,early,joint,1,notional_one,2020,-0.005393841145054812,5138481.648
baseline,early,joint,1,fixed_one,2017,0.002500603999999962,5012503.02
baseline,early,joint,1,fixed_one,2018,-0.00678785187046127,4978478.892
baseline,early,joint,1,fixed_one,2019,0.009131446368699558,5023939.605
baseline,early,joint,1,fixed_one,2020,0.010583411462009362,5077110.025
baseline,early,joint,3,notional_one,2017,0.019985436000000023,5099927.18
baseline,early,joint,3,notional_one,2018,-0.06341996847884401,4776489.959
baseline,early,joint,3,notional_one,2019,0.07107748009818438,5115990.829
baseline,early,joint,3,notional_one,2020,-0.022661748012293148,5000053.533999999
baseline,early,joint,3,fixed_one,2017,0.002220603999999904,5011103.02
baseline,early,joint,3,fixed_one,2018,-0.007448285507408947,4973778.894
baseline,early,joint,3,fixed_one,2019,0.00869775474985146,5017039.603
baseline,early,joint,3,fixed_one,2020,0.01001993724943695,5067310.025
baseline,early,long_only,1,notional_one,2017,0.02250543599999988,5112527.18
baseline,early,long_only,1,notional_one,2018,-0.06973797037104446,4755989.911
baseline,early,long_only,1,notional_one,2019,0.08737699443786706,5171554.015
baseline,early,long_only,1,notional_one,2020,0.23201275332710614,6371420.501
baseline,early,long_only,1,fixed_one,2017,0.002500603999999962,5012503.02
baseline,early,long_only,1,fixed_one,2018,-0.007966178542072933,4972572.526
baseline,early,long_only,1,fixed_one,2019,0.010446406307478506,5024518.039
baseline,early,long_only,1,fixed_one,2020,0.02906532345320545,5170557.281
baseline,early,long_only,3,notional_one,2017,0.019985436000000023,5099927.18
baseline,early,long_only,3,notional_one,2018,-0.07260780790207277,4729632.647
baseline,early,long_only,3,notional_one,2019,0.084311852053232,5128396.735
baseline,early,long_only,3,notional_one,2020,0.2220115318359821,6266959.949999999
baseline,early,long_only,3,fixed_one,2017,0.002220603999999904,5011103.02
baseline,early,long_only,3,fixed_one,2018,-0.008487251974316767,4968572.526
baseline,early,long_only,3,fixed_one,2019,0.010032159285018771,5018418.037
baseline,early,long_only,3,fixed_one,2020,0.02856263526537317,5161757.281
baseline,early,short_only,1,notional_one,2017,0.0,5000000.0
baseline,early,short_only,1,notional_one,2018,0.011812732000000103,5059063.66
baseline,early,short_only,1,notional_one,2019,-0.012818182248372834,4994215.66
baseline,early,short_only,1,notional_one,2020,-0.20454804348597155,3972658.618
baseline,early,short_only,1,fixed_one,2017,0.0,5000000.0
baseline,early,short_only,1,fixed_one,2018,0.0011812732000000548,5005906.366
baseline,early,short_only,1,fixed_one,2019,-0.0012954297435615603,4999421.566
baseline,early,short_only,1,fixed_one,2020,-0.018575913387976928,4906552.744
baseline,early,short_only,3,notional_one,2017,0.0,5000000.0
baseline,early,short_only,3,notional_one,2018,0.010412735999999922,5052063.68
baseline,early,short_only,3,notional_one,2019,-0.013033885590293948,4986215.66
baseline,early,short_only,3,notional_one,2020,-0.2053174414842699,3962458.618
baseline,early,short_only,3,fixed_one,2017,0.0,5000000.0
baseline,early,short_only,3,fixed_one,2018,0.0010412736000000589,5005206.368
baseline,early,short_only,3,fixed_one,2019,-0.0013155905103332532,4998621.566
baseline,early,short_only,3,fixed_one,2020,-0.018618897384239275,4905552.744
baseline,middle,joint,1,notional_one,2021,0.07317865459999995,5365893.273
baseline,middle,joint,1,notional_one,2022,-0.06635839083711881,5009821.2299999995
baseline,middle,joint,1,notional_one,2023,0.095816587850581,5489845.206
baseline,middle,joint,1,fixed_one,2021,0.012423833399999973,5062119.167
baseline,middle,joint,1,fixed_one,2022,-0.010033088776552845,5011330.476
baseline,middle,joint,1,fixed_one,2023,0.0159646218470626,5091334.472
baseline,middle,joint,3,notional_one,2021,0.06999865260000004,5349993.263
baseline,middle,joint,3,notional_one,2022,-0.06919112133468863,4979821.23
baseline,middle,joint,3,notional_one,2023,0.09350214686321179,5445445.206
baseline,middle,joint,3,fixed_one,2021,0.011883832999999955,5059419.165
baseline,middle,joint,3,fixed_one,2022,-0.010493040261865705,5006330.476
baseline,middle,joint,3,fixed_one,2023,0.015501173238967825,5083934.472
baseline,middle,long_only,1,notional_one,2021,0.07317865459999995,5365893.273
baseline,middle,long_only,1,notional_one,2022,-0.054045992949439015,5075888.243
baseline,middle,long_only,1,notional_one,2023,0.09456945326997412,5555912.219
baseline,middle,long_only,1,fixed_one,2021,0.012423833399999973,5062119.167
baseline,middle,long_only,1,fixed_one,2022,-0.011457850770900335,5004118.161
baseline,middle,long_only,1,fixed_one,2023,0.01598763127208236,5084122.157
baseline,middle,long_only,3,notional_one,2021,0.06999865260000004,5349993.263
baseline,middle,long_only,3,notional_one,2022,-0.05486082048548557,5056488.243
baseline,middle,long_only,3,notional_one,2023,0.09208445735923387,5522112.2190000005
baseline,middle,long_only,3,fixed_one,2021,0.011883832999999955,5059419.165
baseline,middle,long_only,3,fixed_one,2022,-0.011602320757702955,5000718.161
baseline,middle,long_only,3,fixed_one,2023,0.015518570233616469,5078322.157
baseline,middle,short_only,1,notional_one,2021,0.0,5000000.0
baseline,middle,short_only,1,notional_one,2022,-0.010557500599999936,4947212.497
baseline,middle,short_only,1,notional_one,2023,0.0,4947212.497
baseline,middle,short_only,1,fixed_one,2021,0.0,5000000.0
baseline,middle,short_only,1,fixed_one,2022,0.0014424630000000604,5007212.315
baseline,middle,short_only,1,fixed_one,2023,0.0,5007212.315
