entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2017-07-27T15:00:00.000000000,10455.0,1,9,5000000.0,1.0,2017-08-11T15:00:00.000000000,10310.0,signal_exit,-65886.885,636.885,900.0,853
2017-09-18T15:00:00.000000000,10638.0,1,9,4934113.115,1.0,2017-09-19T13:35:00.000000000,10577.0,roll_blackout,-28090.934999999998,640.9350000000001,900.0,119
2017-10-12T15:00:00.000000000,10693.0,1,9,4906022.180000001,1.0,2017-10-17T13:35:00.000000000,10721.0,roll_blackout,11957.274000000001,642.726,900.0,369
2017-11-22T15:00:00.000000000,10833.0,1,9,4917979.454000001,1.0,2017-12-01T15:00:00.000000000,10610.0,signal_exit,-100992.98700000001,642.987,900.0,421
2018-01-03T15:00:00.000000000,10793.0,1,8,4816986.467,1.0,2018-01-16T13:35:00.000000000,10982.0,roll_blackout,75025.8,574.2,800.0,828
2018-01-18T15:00:00.000000000,11064.0,1,8,4892012.267000001,1.0,2018-02-06T15:00:00.000000000,10417.0,signal_exit,-259371.848,571.848,800.0,438
2018-06-04T15:00:00.000000000,11093.0,1,8,4632640.419000001,1.0,2018-06-19T13:35:00.000000000,10883.0,roll_blackout,-84575.808,575.808,800.0,216
2018-07-20T15:00:00.000000000,10839.0,1,8,4548064.6110000005,1.0,2018-08-14T13:35:00.000000000,10819.0,roll_blackout,-8573.264,573.264,800.0,629
2018-08-29T15:00:00.000000000,11047.0,1,8,4539491.347,1.0,2018-09-11T15:00:00.000000000,10735.0,signal_exit,-125374.25600000001,574.256,800.0,183
2019-04-10T15:00:00.000000000,10862.0,1,8,4414117.091,1.0,2019-04-16T13:35:00.000000000,10921.0,roll_blackout,23025.736,574.264,800.0,130
2019-05-03T15:00:00.000000000,11094.0,1,7,4437142.8270000005,1.0,2019-05-09T15:00:00.000000000,10728.0,signal_exit,-128602.754,502.754,700.0,39
2019-07-11T15:00:00.000000000,10816.0,1,7,4308540.073000001,1.0,2019-07-16T13:35:00.000000000,10880.0,roll_blackout,21898.128,501.87200000000007,700.0,101
2019-07-19T15:00:00.000000000,10746.0,1,8,4330438.201,1.0,2019-08-02T15:00:00.000000000,10471.0,signal_exit,-110569.73599999999,569.7360000000001,800.0,259
2019-09-04T15:00:00.000000000,10691.0,1,7,4219868.465,1.0,2019-09-17T13:35:00.000000000,10862.0,roll_blackout,59349.129,500.87100000000004,700.0,292
2019-10-01T15:00:00.000000000,10958.0,1,7,4279217.594,1.0,2019-10-15T13:35:00.000000000,11105.0,roll_blackout,50945.559,504.44100000000003,700.0,153
2019-10-24T15:00:00.000000000,11295.0,1,7,4330163.152999999,1.0,2019-11-19T13:35:00.000000000,11646.0,roll_blackout,122339.413,510.587,700.0,553
2019-12-11T15:00:00.000000000,11710.0,1,7,4452502.565999999,1.0,2019-12-17T13:35:00.000000000,12093.0,roll_blackout,133533.379,516.6210000000001,700.0,82
2020-04-30T15:00:00.000000000,10939.0,1,8,4586035.944999999,1.0,2020-05-19T13:35:00.000000000,10873.0,roll_blackout,-26974.496,574.4960000000001,800.0,26
2020-06-02T15:00:00.000000000,11113.0,1,8,4559061.448999999,1.0,2020-06-16T13:35:00.000000000,11512.0,roll_blackout,159019.0,581.0,800.0,25
2020-07-02T15:00:00.000000000,11730.0,1,8,4718080.448999999,1.0,2020-07-14T13:35:00.000000000,12180.0,roll_blackout,179408.72,591.28,800.0,76
2020-07-21T15:00:00.000000000,12299.0,1,7,4897489.168999999,1.0,2020-08-18T13:35:00.000000000,12874.0,roll_blackout,200723.78900000002,526.211,700.0,93
2020-11-09T15:00:00.000000000,13114.0,1,7,5098212.957999999,1.0,2020-11-17T13:35:00.000000000,13604.0,roll_blackout,170962.974,537.0260000000001,700.0,13
2020-11-23T15:00:00.000000000,13875.0,1,7,5269175.931999998,1.0,2020-12-15T13:35:00.000000000,14059.0,roll_blackout,63854.462,545.538,700.0,173
2020-12-21T15:00:00.000000000,14319.0,1,7,5333030.393999998,1.0,2021-01-19T13:35:00.000000000,15892.0,roll_blackout,549988.523,561.4770000000001,700.0,449
2021-01-21T15:00:00.000000000,16106.0,1,7,5883018.9169999985,1.0,2021-01-29T15:00:00.000000000,15139.0,signal_exit,-339018.715,568.715,700.0,30
2021-03-29T15:00:00.000000000,16426.0,1,6,5544000.201999999,1.0,2021-04-20T13:35:00.000000000,17320.0,roll_blackout,267697.52400000003,502.476,600.0,224
2021-04-26T15:00:00.000000000,17529.0,1,6,5811697.725999999,1.0,2021-05-05T15:00:00.000000000,16784.0,signal_exit,-224005.878,505.87800000000004,600.0,69
2021-06-25T15:00:00.000000000,17420.0,1,6,5587691.847999999,1.0,2021-07-20T13:35:00.000000000,17540.0,roll_blackout,35490.240000000005,509.76000000000005,600.0,203
2021-11-08T15:00:00.000000000,17422.0,1,6,5623182.0879999995,1.0,2021-11-16T13:35:00.000000000,17685.0,roll_blackout,78389.358,510.642,600.0,86
