entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,sizing_mode
2022-04-27T15:00:00.000000000,16297.0,-1,1,5000000.0,1.0,2022-05-17T13:35:00.000000000,16073.0,roll_blackout,11117.63,82.37,300.0,12,fixed_one
2022-09-07T15:00:00.000000000,14367.0,-1,1,5011117.63,1.0,2022-09-13T15:00:00.000000000,14889.0,signal_exit,-26179.255999999998,79.256,300.0,9,fixed_one
2022-09-22T15:00:00.000000000,14229.0,-1,1,4984938.374,1.0,2022-10-18T13:35:00.000000000,13122.0,roll_blackout,55272.649,77.351,300.0,11,fixed_one
