variant,window,direction,slippage_per_side,sizing,period,return,ending_equity
baseline,early,joint,3,notional_one,2018-08,0.014693479378324215,5020919.35
baseline,early,joint,3,notional_one,2018-09,-0.02250636091177205,4907916.727
baseline,early,joint,3,notional_one,2018-10,-0.022581343198083137,4797089.375
baseline,early,joint,3,notional_one,2018-11,-0.014295148295001336,4728514.271
baseline,early,joint,3,notional_one,2018-12,0.010146038533548563,4776489.959
baseline,early,joint,3,notional_one,2019-01,-0.01240727364836891,4717226.741
baseline,early,joint,3,notional_one,2019-02,0.0,4717226.741
baseline,early,joint,3,notional_one,2019-03,0.0,4717226.741
baseline,early,joint,3,notional_one,2019-04,0.005244223642036694,4741964.933
baseline,early,joint,3,notional_one,2019-05,-0.03489783546233571,4576480.621
baseline,early,joint,3,notional_one,2019-06,-0.002247325150423918,4566195.7809999995
baseline,early,joint,3,notional_one,2019-07,0.03202395144957548,4712423.413
baseline,early,joint,3,notional_one,2019-08,-0.037733692500861005,4534606.277
baseline,early,joint,3,notional_one,2019-09,0.01868769962010086,4619347.637
baseline,early,joint,3,notional_one,2019-10,0.039360931085516304,4801169.461
baseline,early,joint,3,notional_one,2019-11,0.01745708679537894,4884983.893
baseline,early,joint,3,notional_one,2019-12,0.04728919092876116,5115990.829
baseline,early,joint,3,notional_one,2020-01,-0.03295431239718505,4947396.869
baseline,early,joint,3,notional_one,2020-02,-0.012952049268881938,4883317.941
baseline,early,joint,3,notional_one,2020-03,-0.1256560187998622,4269699.649999999
baseline,early,joint,3,notional_one,2020-04,-0.09605798642066066,3859560.8989999997
baseline,early,joint,3,notional_one,2020-05,-0.009954106439920118,3821142.4189999998
baseline,early,joint,3,notional_one,2020-06,0.051077929215493034,4016318.460999999
baseline,early,joint,3,notional_one,2020-07,0.10941128181618076,4455749.011999999
baseline,early,joint,3,notional_one,2020-08,0.04606942838278538,4661022.822
baseline,early,joint,3,notional_one,2020-09,-0.025174691152799578,4543683.011999999
baseline,early,joint,3,notional_one,2020-10,-0.007492274199166649,4509640.493
baseline,early,joint,3,notional_one,2020-11,0.053623012161470696,4751460.999999999
baseline,early,joint,3,notional_one,2020-12,0.05231917803808139,5000053.533999999
baseline,early,joint,3,fixed_one,2017-07,0.0016887791999999902,5008443.896
baseline,early,joint,3,fixed_one,2017-08,0.0019026660172056786,5017973.292
baseline,early,joint,3,fixed_one,2017-09,-0.0029207851750360225,5003316.87
baseline,early,joint,3,fixed_one,2017-10,0.0028167440452357972,5017409.933
baseline,early,joint,3,fixed_one,2017-11,-0.001588729066678951,5009438.628
baseline,early,joint,3,fixed_one,2017-12,0.00033225120090252247,5011103.02
baseline,early,joint,3,fixed_one,2018-01,0.0021436715543716733,5021845.179
baseline,early,joint,3,fixed_one,2018-02,-0.006276839861932393,4990323.861
baseline,early,joint,3,fixed_one,2018-03,-0.0008603609945144752,4986030.381
baseline,early,joint,3,fixed_one,2018-04,-0.00124062681679038,4979844.578
baseline,early,joint,3,fixed_one,2018-05,-0.00046339498429215364,4977536.943
baseline,early,joint,3,fixed_one,2018-06,-0.0009255877058791384,4972929.796
baseline,early,joint,3,fixed_one,2018-07,0.004382307391012974,4994722.703
baseline,early,joint,3,fixed_one,2018-08,0.0016174063066900501,5002801.199
baseline,early,joint,3,fixed_one,2018-09,-0.0023872951422468924,4990858.036
baseline,early,joint,3,fixed_one,2018-10,-0.0029634820091685166,4976067.718
baseline,early,joint,3,fixed_one,2018-11,-0.0015312203192971996,4968448.262
baseline,early,joint,3,fixed_one,2018-12,0.0010728967514406218,4973778.894
baseline,early,joint,3,fixed_one,2019-01,-0.001323903241445601,4967194.092
baseline,early,joint,3,fixed_one,2019-02,0.0,4967194.092
baseline,early,joint,3,fixed_one,2019-03,0.0,4967194.092
baseline,early,joint,3,fixed_one,2019-04,0.0006225393940173518,4970286.366
baseline,early,joint,3,fixed_one,2019-05,-0.0041618404809636855,4949600.827
baseline,early,joint,3,fixed_one,2019-06,-0.0002597391274437033,4948315.222
baseline,early,joint,3,fixed_one,2019-07,0.0036938742137393454,4966593.676
baseline,early,joint,3,fixed_one,2019-08,-0.004475329259852279,4944366.534
baseline,early,joint,3,fixed_one,2019-09,0.002142371510517993,4954959.204
baseline,early,joint,3,fixed_one,2019-10,0.0045868648084230745,4977686.932
baseline,early,joint,3,fixed_one,2019-11,0.0021047535016007757,4988163.736
baseline,early,joint,3,fixed_one,2019-12,0.0057888771356082724,5017039.603
baseline,early,joint,3,fixed_one,2020-01,-0.004200533913943705,4995965.358
baseline,early,joint,3,fixed_one,2020-02,-0.0016032669216119455,4987955.492
baseline,early,joint,3,fixed_one,2020-03,-0.011183636479810022,4932172.011
baseline,early,joint,3,fixed_one,2020-04,-0.007559618950199631,4894886.67
baseline,early,joint,3,fixed_one,2020-05,-0.0011864989715890673,4889078.892
baseline,early,joint,3,fixed_one,2020-06,0.00656096510377191,4921155.968
baseline,early,joint,3,fixed_one,2020-07,0.012756310388900793,4983931.761
baseline,early,joint,3,fixed_one,2020-08,0.00588387470098839,5013256.591
baseline,early,joint,3,fixed_one,2020-09,-0.003343700785252701,4996493.761
baseline,early,joint,3,fixed_one,2020-10,-0.0009733259426760732,4991630.544
baseline,early,joint,3,fixed_one,2020-11,0.006860962905431034,5025877.936
baseline,early,joint,3,fixed_one,2020-12,0.00824375154502377,5067310.025
baseline,early,long_only,1,notional_one,2017-07,0.015739016399999972,5078695.082
baseline,early,long_only,1,notional_one,2017-08,0.017241547796469803,5166259.646
baseline,early,long_only,1,notional_one,2017-09,-0.025009934624567243,5037051.83
baseline,early,long_only,1,notional_one,2017-10,0.025716945024963245,5166589.415
baseline,early,long_only,1,notional_one,2017-11,-0.013537314344534646,5096647.67
baseline,early,long_only,1,notional_one,2017-12,0.003115677407616424,5112527.18
baseline,early,long_only,1,notional_one,2018-01,0.0194384196897317,5211906.629
baseline,early,long_only,1,notional_one,2018-02,-0.05408613048274924,4930014.767
baseline,early,long_only,1,notional_one,2018-03,-0.008018934195618388,4890481.303
baseline,early,long_only,1,notional_one,2018-04,-0.009955347333632458,4841794.863
baseline,early,long_only,1,notional_one,2018-05,-0.0033171715147900516,4825733.799
baseline,early,long_only,1,notional_one,2018-06,-0.008191180791653041,4786205.341
baseline,early,long_only,1,notional_one,2018-07,0.041543595987558746,4985041.522
baseline,early,long_only,1,notional_one,2018-08,0.014946006702489356,5059547.986
baseline,early,long_only,1,notional_one,2018-09,-0.02053315183242921,4955659.519
baseline,early,long_only,1,notional_one,2018-10,-0.040291228086688946,4755989.911
baseline,early,long_only,1,notional_one,2018-11,0.0,4755989.911
baseline,early,long_only,1,notional_one,2018-12,0.0,4755989.911
baseline,early,long_only,1,notional_one,2019-01,0.0,4755989.911
baseline,early,long_only,1,notional_one,2019-02,0.0,4755989.911
baseline,early,long_only,1,notional_one,2019-03,0.0,4755989.911
baseline,early,long_only,1,notional_one,2019-04,0.005706111347551834,4783128.119
baseline,early,long_only,1,notional_one,2019-05,-0.03443025649800702,4618443.791
baseline,early,long_only,1,notional_one,2019-06,-0.0020536839743472424,4608958.967
baseline,early,long_only,1,notional_one,2019-07,0.03207397441774629,4756786.599
baseline,early,long_only,1,notional_one,2019-08,-0.036540876573387115,4582969.447
baseline,early,long_only,1,notional_one,2019-09,0.01901417345407852,4670110.823
baseline,early,long_only,1,notional_one,2019-10,0.0392756897966231,4853532.647
baseline,early,long_only,1,notional_one,2019-11,0.017598404752215968,4938947.079
baseline,early,long_only,1,notional_one,2019-12,0.04709646252113653,5171554.015
baseline,early,long_only,1,notional_one,2020-01,-0.03229086644278234,5004560.055
baseline,early,long_only,1,notional_one,2020-02,-0.012324548676037494,4942881.111
baseline,early,long_only,1,notional_one,2020-03,0.0,4942881.111
baseline,early,long_only,1,notional_one,2020-04,0.0,4942881.111
baseline,early,long_only,1,notional_one,2020-05,-0.009596431501141867,4895447.091
baseline,early,long_only,1,notional_one,2020-06,0.05274627693856937,5153663.699
baseline,early,long_only,1,notional_one,2020-07,0.10308575569319456,5684933.016
baseline,early,long_only,1,notional_one,2020-08,0.04674170641098718,5950656.486
baseline,early,long_only,1,notional_one,2020-09,-0.024899015486541054,5802490.998
baseline,early,long_only,1,notional_one,2020-10,-0.007077811066687589,5761422.063
baseline,early,long_only,1,notional_one,2020-11,0.04792944154766743,6037563.805
baseline,early,long_only,1,notional_one,2020-12,0.055296590940126844,6371420.501
baseline,early,long_only,1,fixed_one,2017-07,0.0017487795999999722,5008743.898
baseline,early,long_only,1,fixed_one,2017-08,0.001942482226708453,5018473.294
baseline,early,long_only,1,fixed_one,2017-09,-0.0028607154325527295,5004116.87
baseline,early,long_only,1,fixed_one,2017-10,0.002876244774834724,5018509.935
baseline,early,long_only,1,fixed_one,2017-11,-0.0015485283681120343,5010738.63
baseline,early,long_only,1,fixed_one,2017-12,0.00035212173898591104,5012503.02
baseline,early,long_only,1,fixed_one,2018-01,0.0022029235605329767,5023545.181
baseline,early,long_only,1,fixed_one,2018-02,-0.0062349032150568195,4992223.863
baseline,early,long_only,1,fixed_one,2018-03,-0.0007799089357463096,4988330.383
baseline,early,long_only,1,fixed_one,2018-04,-0.0012200084061674277,4982244.578
baseline,early,long_only,1,fixed_one,2018-05,-0.00040295753622066055,4980236.945
baseline,early,long_only,1,fixed_one,2018-06,-0.0008648482085424902,4975929.796
baseline,early,long_only,1,fixed_one,2018-07,0.004439955928992267,4998022.705
baseline,early,long_only,1,fixed_one,2018-08,0.001656354220183509,5006301.201
baseline,early,long_only,1,fixed_one,2018-09,-0.0023057268303583456,4994758.038
baseline,early,long_only,1,fixed_one,2018-10,-0.0044417591064899176,4972572.526
baseline,early,long_only,1,fixed_one,2018-11,0.0,4972572.526
baseline,early,long_only,1,fixed_one,2018-12,0.0,4972572.526
baseline,early,long_only,1,fixed_one,2019-01,0.0,4972572.526
baseline,early,long_only,1,fixed_one,2019-02,0.0,4972572.526
baseline,early,long_only,1,fixed_one,2019-03,0.0,4972572.526
baseline,early,long_only,1,fixed_one,2019-04,0.0006821973902368939,4975964.802
baseline,early,long_only,1,fixed_one,2019-05,-0.004136994898301216,4955379.261
baseline,early,long_only,1,fixed_one,2019-06,-0.0002392557537080897,4954193.658
